,university,stream,program,decision,cgpa,greV,greQ,greA,gre_subject,citizenship
0,0.5816254416961131,0.6366554054054054,0.45414759226194473,1,4.0,150.0,166.0,3.0,660.0,0.5019177676073301
1,0.6563245823389021,0.5331166192604633,0.45414759226194473,0,3.95,164.0,163.0,5.0,750.0,0.580094723426517
2,0.5329471397538016,0.5331166192604633,0.45414759226194473,0,3.88,168.0,167.0,4.5,870.0,0.580094723426517
3,0.8102801141466942,0.3800562785789659,0.7660478957063909,1,4.0,165.0,163.0,5.0,800.0,0.580094723426517
4,0.8223938223823998,0.6366554054054054,0.45414759226194473,1,4.0,161.0,161.0,4.5,720.0,0.580094723426517
5,0.7129455909943715,0.5331166192604633,0.45414759226194473,0,3.89,159.0,170.0,3.5,990.0,0.5019177676073301
6,0.4786729861365528,0.5331166192604633,0.45414759226194473,1,3.5,147.0,162.0,3.0,900.0,0.5019177676073301
7,0.6657381615598884,0.5331166192604633,0.45414759226194473,0,3.3,156.0,153.0,4.0,630.0,0.580094723426517
8,0.5827335812476684,0.5331166192604633,0.45414759226194473,0,3.3,156.0,153.0,4.0,630.0,0.580094723426517
9,0.5785288270377733,0.5331166192604633,0.45414759226194473,0,3.3,156.0,153.0,4.0,630.0,0.580094723426517
10,0.6497245670212677,0.5139949109414759,0.45414759226194473,0,3.3,168.0,170.0,5.5,920.0,0.5019177676073301
11,0.5785288270377733,0.5331166192604633,0.45414759226194473,0,3.58,159.0,160.0,4.0,610.0,0.580094723426517
12,0.5721908349026993,0.43249667237117323,0.7190943183326696,1,3.75,162.0,153.0,5.0,520.0,0.580094723426517
13,0.4930555555556831,0.6150627615062761,0.7190943183326696,1,3.92,168.0,158.0,5.5,820.0,0.580094723426517
14,0.3753219989696033,0.4908256880733945,0.45414759226194473,0,3.7,166.0,170.0,3.5,900.0,0.5019177676073301
15,0.5548961424332343,0.5331166192604633,0.45414759226194473,0,3.97,159.0,168.0,4.0,950.0,0.580094723426517
16,0.633147113594041,0.6366554054054054,0.45414759226194473,0,3.3,153.0,156.0,4.0,750.0,0.5888368434226052
17,0.5905349794238683,0.4908256880733945,0.45414759226194473,0,3.98,166.0,165.0,4.5,710.0,0.580094723426517
18,0.5238095249443034,0.4908256880733945,0.45414759226194473,1,3.93,151.0,161.0,5.0,570.0,0.580094723426517
19,0.5362756952841596,0.523718763235917,0.45414759226194473,0,3.56,159.0,159.0,5.0,680.0,0.580094723426517
20,0.7239057239055604,0.5331166192604633,0.45414759226194473,1,3.1,156.0,152.0,4.0,710.0,0.4825660985102671
21,0.40265120132560067,0.5331166192604633,0.45414759226194473,0,3.87,160.0,165.0,3.5,710.0,0.580094723426517
22,0.3269043985014569,0.4908256880733945,0.45414759226194473,1,3.8,163.0,170.0,4.0,890.0,0.4825660985102671
23,0.3552278820375335,0.42951299443754953,0.45414759226194473,0,3.93,170.0,170.0,4.5,910.0,0.580094723426517
24,0.4345885634588563,0.4908256880733945,0.45414759226194473,1,3.86,166.0,168.0,3.5,700.0,0.580094723426517
25,0.7458847736625515,0.523718763235917,0.45414759226194473,0,3.35,163.0,161.0,4.0,670.0,0.580094723426517
26,0.7107371416083187,0.43249667237117323,0.7190943183326696,1,3.8,160.0,149.0,5.5,590.0,0.580094723426517
27,0.2638916952919782,0.6355870684496707,0.45414759226194473,1,3.3,168.0,170.0,5.5,920.0,0.4825660985102671
28,0.6882494004796164,0.4908256880733945,0.45414759226194473,1,3.91,160.0,170.0,4.0,870.0,0.5019177676073301
29,0.5548961424332343,0.5331166192604633,0.45414759226194473,0,3.05,156.0,160.0,4.5,680.0,0.5019177676073301
30,0.5329471397538016,0.4908256880733945,0.7190943183326696,1,3.93,161.0,170.0,4.0,710.0,0.580094723426517
31,0.5384615384615384,0.3131115459882583,0.45414759226194473,1,3.8,162.0,155.0,5.0,690.0,0.580094723426517
32,0.6885193897473153,0.523718763235917,0.45414759226194473,0,3.96,157.0,170.0,4.0,830.0,0.580094723426517
33,0.6885193897473153,0.523718763235917,0.45414759226194473,0,3.96,170.0,157.0,4.0,830.0,0.580094723426517
34,0.46320054017555706,0.43249667237117323,0.45414759226194473,1,3.83,170.0,161.0,5.5,690.0,0.580094723426517
35,0.4786729861365528,0.43249667237117323,0.45414759226194473,1,3.2,167.0,169.0,4.0,660.0,0.580094723426517
36,0.6161971830985915,0.38461538461538464,0.45414759226194473,0,3.63,153.0,162.0,4.0,860.0,0.5019177676073301
37,0.5816254416961131,0.5331166192604633,0.45414759226194473,0,3.58,159.0,160.0,4.0,610.0,0.580094723426517
38,0.6161971830985915,0.5780141843970401,0.45414759226194473,0,3.13,149.0,167.0,3.5,930.0,0.5019177676073301
39,0.5347490347490348,0.4908256880733945,0.45414759226194473,1,3.93,151.0,161.0,5.0,570.0,0.580094723426517
40,0.7129455909943715,0.4908256880733945,0.45414759226194473,1,3.46,162.0,157.0,4.2,840.0,0.5019177676073301
41,0.6353092783505154,0.6366554054054054,0.45414759226194473,1,3.65,145.0,167.0,3.0,790.0,0.5019177676073301
42,0.5071387778412336,0.523718763235917,0.45414759226194473,0,3.56,159.0,159.0,5.0,680.0,0.580094723426517
43,0.5141294439380127,0.5331166192604633,0.45414759226194473,0,3.69,161.0,170.0,4.5,910.0,0.5019177676073301
44,0.8730769230646741,0.3800562785789659,0.45414759226194473,1,3.2,157.0,157.0,4.0,700.0,0.5888368434226052
45,0.6047794117647058,0.523718763235917,0.7190943183326696,1,3.57,170.0,169.0,5.0,730.0,0.580094723426517
46,0.5384615384615384,0.5331166192604633,0.45414759226194473,0,3.39,156.0,158.0,4.0,660.0,0.580094723426517
47,0.5071387778412336,0.4908256880733945,0.45414759226194473,0,3.98,166.0,165.0,4.5,710.0,0.580094723426517
48,0.5141294439380127,0.5331166192604633,0.45414759226194473,0,3.97,159.0,168.0,4.0,950.0,0.580094723426517
49,0.5362756952841596,0.5557004210498715,0.45414759226194473,0,3.8,162.0,155.0,5.0,690.0,0.580094723426517
50,0.5038167938931297,0.5024449877750611,0.45414759226194473,1,3.3,156.0,164.0,4.0,820.0,0.5019177676073301
51,0.625561040584607,0.5331166192604633,0.45414759226194473,0,3.7,154.0,158.0,4.0,640.0,0.580094723426517
